,0,1,2,3,4,5
0,0.756943,0.806548,1.032407,0.829462,0.28125,0.284722
1,0.1875,0.374999,0.817129,0.495534,0.0625,0.284722
2,1.11979,0.143403,0.911391,0.578125,0.168403,0.168403
3,1.25,0.1875,0.671388,0.871874,0.541249,0.509257
4,0.732638,2.081247,0.727501,1.384803,1.049999,1.24752
5,0.666665,1.707069,0.0,0.515871,0.46875,0.560833
6,0.520834,1.155272,0.701386,1.645828,0.284722,0.284723
7,0.374999,0.354166,0.479165,0.671292,0.305556,0.578056
8,0.778889,0.143403,0.602711,0.328125,0.293403,0.245784
9,1.005506,0.575431,0.891831,0.796874,0.350695,0.780505
10,1.007653,0.713774,1.066997,0.966318,1.545834,1.223681
11,1.889111,0.46285,0.474272,1.174651,0.831994,0.826458
12,1.300622,0.404856,1.266362,0.729167,0.836806,0.746527
13,1.334371,0.548793,0.916986,0.896258,0.777082,0.585415
14,0.678572,0.439931,0.388638,0.617709,0.430556,0.319444
15,0.957292,0.757847,0.711322,0.504375,0.82604,0.973958
16,1.548609,1.350696,0.684029,0.920122,0.930554,0.830752
17,1.127776,1.674652,0.473249,0.445018,0.265625,0.847291
18,0.850695,0.629464,0.552083,0.954463,0.46875,0.46875
19,0.345485,0.922081,0.489003,0.68729,0.42986,0.381149
20,1.02101,0.769867,0.766666,0.772568,1.458827,1.144294
21,1.210068,0.544445,0.811043,0.642361,1.437853,0.602852
22,1.993303,0.828123,0.642361,0.698957,0.569375,0.59687
23,1.00972,1.166942,0.34375,0.831178,0.48125,0.710415
24,0.685831,0.479166,0.555555,0.770832,0.354167,0.796944
25,0.1875,0.1875,0.541669,0.541669,0.1875,0.722222
26,0.303125,0.374255,0.459426,0.743126,0.593005,0.944445
27,0.222778,0.396527,0.279175,0.381111,1.007988,0.930557
28,0.15162,0.1875,0.536574,1.031249,0.301667,0.770417
29,0.124998,0.883074,0.329095,0.613542,0.323611,0.617362
30,0.740255,0.499997,0.48611,0.808913,0.548612,1.071948
31,0.3125,0.229167,0.277779,0.277778,0.222222,1.138888
32,0.656249,0.488749,0.791965,1.276041,0.91146,1.562778
33,0.880206,0.514213,0.439214,1.281249,0.746179,1.517967
34,1.266695,0.500533,0.776941,0.646873,1.296873,1.326758
35,1.18229,0.25,0.616502,0.875624,1.270832,0.619793
36,0.539115,0.490776,0.015625,0.58314,0.520639,0.109375
37,0.463194,0.344825,0.0,0.301544,0.583347,0.0
38,0.40625,0.25,0.520972,1.031249,0.559028,1.424931
39,0.682291,0.327779,0.219446,0.792499,0.725694,1.150972
40,0.317207,1.927082,1.116813,0.691481,0.71875,1.001734
41,0.489583,1.802082,1.170385,0.621528,0.796874,1.340278
42,0.406249,1.136157,0.917082,0.770832,2.078123,1.364583
43,0.138022,0.99176,0.348477,1.390001,0.61296,1.178684
44,0.845789,0.482291,0.839641,1.079919,0.958225,0.74479
45,0.803677,0.4352,0.328125,0.586446,0.934417,0.930706
46,0.999999,1.835069,1.33795,0.437498,0.843749,1.152777
47,0.833333,1.366319,1.668819,0.391512,0.989584,0.960068
48,0.890624,1.379314,1.012152,0.578125,0.658749,0.731666
49,0.612355,1.162704,0.880485,0.687854,0.954135,1.074652
50,1.062839,0.604136,1.039321,0.66104,0.923611,0.713542
51,0.573656,0.51427,0.436439,0.506249,0.734166,0.406251
52,0.682125,1.110535,0.456595,0.779723,0.03125,0.969224
53,0.702706,1.376281,0.637054,1.657821,0.655748,0.875957
54,0.696527,1.192491,0.714434,0.28125,0.489583,0.598957
55,0.617498,1.820449,0.673273,0.588542,1.010792,0.840903
56,0.3125,0.569445,0.8125,1.1875,0.645834,1.083334
57,0.780554,0.821997,0.974998,0.874999,0.975823,1.279445
58,1.343809,0.513277,0.622915,1.227676,1.689582,1.232638
59,0.503124,0.631573,0.696896,1.594928,0.797176,1.307291
60,0.880801,0.59122,0.591665,0.269375,0.309174,0.555554
61,0.593611,0.566695,1.045001,0.538208,0.669213,1.528487
62,0.882716,0.437499,0.937499,0.625,1.041661,1.062496
63,0.569443,0.926389,0.804166,0.8125,1.650823,1.099446
64,0.361408,0.424459,0.488747,0.467617,0.554861,0.996188
65,0.284921,0.215278,0.988016,0.567494,0.621944,0.365356
66,0.250947,0.327711,0.571556,1.076875,0.53125,0.768974
67,0.114583,0.15804,0.335416,0.395833,0.729165,0.273434
68,0.015625,0.404654,0.514198,0.422916,0.640625,0.497865
69,0.0,0.0,0.0,0.0,0.0,0.0
70,1.034921,0.215278,0.658432,0.463789,0.293333,0.670694
71,1.068075,0.477236,0.526546,0.486665,0.742361,0.479093
72,0.432152,0.440151,0.405527,0.39236,1.360469,0.652778
73,0.222916,0.234628,0.347291,0.704784,0.175595,0.26882
74,0.402778,0.210417,0.304167,0.460812,0.781048,0.732143
75,0.0,0.0,0.0,0.0,0.0,0.0
76,0.147501,0.146811,0.41238,1.009374,0.669637,0.533271
77,1.22826,0.793956,0.680271,0.980207,0.722375,0.687346
78,0.189167,0.270139,0.334721,0.327082,1.08917,0.429165
79,0.408402,1.257152,0.502891,0.909028,1.31464,0.504629
80,0.579861,0.685091,0.756547,1.197915,1.206666,1.121528
81,0.637345,0.583748,0.704163,1.222224,1.295138,1.104169
82,0.182292,0.343089,0.341199,0.719346,0.783904,0.66532
83,0.843469,1.115567,1.115567,0.726829,0.726829,0.843469
84,0.371138,0.406398,0.587902,0.661459,1.522084,0.624056
85,0.368334,0.734373,0.742329,0.576849,0.640624,1.247983
86,0.601388,0.694444,0.864721,1.020831,1.629441,1.265276
87,0.678714,0.776674,1.027776,0.973214,1.251665,1.219138
88,0.0,0.156944,0.289809,0.376152,0.0,0.508332
89,0.09375,0.271249,0.4375,0.614999,0.332917,0.636458
90,0.296111,0.688473,0.340107,0.419971,0.374999,0.570832
91,0.609375,2.137663,0.261458,0.860861,1.188123,0.63125
92,1.673803,0.546874,1.010328,0.598958,0.721527,0.59375
93,1.012853,0.487499,0.535597,0.203125,0.765208,0.5625
