,0,1,2,3,4,5
0,0.385247,0.622916,0.526933,0.075694,0.42494,0.46828
1,0.535991,0.703799,0.188621,0.454568,0.730288,0.55733
2,0.984373,0.551874,1.059373,0.86296,0.705404,0.598957
3,0.46875,0.468749,0.499999,0.78125,0.843749,0.1875
4,0.65625,0.509155,0.472489,0.853541,1.520237,0.188988
5,0.521996,0.6111,0.442708,1.070677,1.864508,0.911456
6,0.338389,0.402876,0.833149,0.885418,1.321043,1.128126
7,0.497569,0.235657,0.664681,0.267234,1.312448,1.343364
8,0.717012,0.463242,0.677082,0.431944,0.627778,0.201311
9,0.756943,1.0625,1.070922,0.512888,0.23148,0.453702
10,1.091405,1.055555,0.534721,0.775436,0.555556,0.25893
11,0.516366,0.365624,0.374554,0.497788,0.28125,0.672917
12,0.444444,0.602431,1.671871,0.962499,1.519047,0.659167
13,1.160415,0.929995,1.708748,0.910416,0.829444,0.709167
14,0.041668,0.493055,0.427083,0.539584,0.104168,0.1875
15,1.741341,0.694791,1.1775,0.628472,0.667856,0.718039
16,0.0625,0.749999,0.437499,0.0625,0.895832,0.625
17,0.104168,0.40625,0.104168,0.104168,1.1875,0.687499
18,1.024585,0.929047,2.245134,1.011797,1.469928,1.306249
19,1.228102,0.557917,1.999996,1.012499,1.528926,0.64466
20,0.511347,0.427155,0.282179,0.506066,0.1875,0.187501
21,1.275845,0.236112,0.629164,1.322718,0.329861,0.845486
22,0.563984,0.777776,0.241702,0.155614,0.423608,0.486111
23,0.798609,1.333333,1.069958,0.410894,1.994578,0.791666
24,0.76629,0.435811,0.588541,0.348958,0.504516,0.287847
25,0.479165,0.671495,0.098485,0.255557,1.075569,0.406944
26,1.432289,0.922779,1.420123,1.033495,1.217706,0.70027
27,0.339853,0.602979,1.135838,1.103471,2.046873,0.682292
28,0.912142,0.964447,1.234374,0.373125,0.801042,0.906941
29,0.687427,0.854895,1.896893,0.858208,1.587865,0.800838
30,0.847501,0.605832,0.61354,0.561457,1.058708,0.727159
31,1.254393,0.841117,1.075138,1.6325,2.06825,1.732262
32,0.925308,0.285625,0.786805,0.259375,0.355903,0.835831
33,0.527778,0.819374,0.455902,0.570395,0.855148,0.894583
34,1.596876,0.327292,0.300416,1.646875,0.946527,0.300416
35,0.266539,0.718749,0.055625,0.656539,0.718748,0.055625
36,0.277779,0.277778,0.5625,0.92778,1.0,0.840277
37,0.145834,0.270833,0.562499,0.483335,0.624999,0.270833
38,0.098958,0.234375,0.036458,0.140625,0.098958,0.458333
39,1.64549,0.271875,0.539168,0.200625,0.651535,0.856667
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.263889,1.0625,0.263889,0.263889,1.770835,1.0625
42,0.238032,0.678126,0.303125,0.639999,2.073442,0.429862
43,0.19,0.364583,0.732637,0.19,1.621044,0.732638
44,0.643052,1.094999,0.527429,1.622046,0.886344,0.940694
45,1.15104,0.281945,0.187499,1.194444,0.495416,0.732633
46,0.715275,0.999999,0.513887,0.883051,1.902037,1.020832
47,0.444445,1.124999,0.694444,0.77198,1.997223,1.125
48,0.499721,0.427855,1.157983,0.712499,1.604873,0.545625
49,0.277779,0.574652,0.968795,0.747915,1.515376,0.586875
50,0.798609,0.673609,1.4375,1.631941,1.9375,0.951386
51,0.194444,0.194444,0.437499,0.927779,0.875,0.840277
52,0.749533,0.653817,0.758124,1.240007,1.777526,0.837522
53,0.305555,1.159723,0.304791,0.523263,1.770694,0.304791
54,0.286458,0.130209,0.501041,0.140625,0.49479,0.203125
55,0.251736,0.445117,1.411805,1.01611,1.855687,0.36632
56,0.889955,0.497596,0.277956,0.27253,0.712765,0.638016
57,1.510015,2.066502,0.519244,0.81824,0.588799,0.865093
58,0.305555,1.03472,0.437499,1.118054,0.916667,0.659721
59,0.527777,0.447221,0.465277,0.666666,0.999999,0.625001
60,0.960033,0.178698,0.730591,0.644113,0.786572,0.896028
61,1.046873,0.36875,0.703124,0.425347,0.953121,0.462153
62,1.203795,1.379252,0.519797,0.478782,0.095558,0.32741
63,0.679677,1.893546,0.681942,0.621683,0.438623,0.756957
64,0.616859,0.71153,0.449831,0.671968,0.574414,0.703124
65,0.563263,0.432292,0.684028,0.786459,0.578124,0.930555
66,0.875,0.875,0.562499,0.875,0.3125,1.0
67,1.0625,0.354166,0.687499,0.4375,2.249996,0.8125
68,0.555557,0.863332,1.0,0.3125,0.638889,0.333334
69,0.701386,2.055549,1.437501,1.395831,1.874997,1.020831
70,0.105903,0.078125,0.328125,0.524653,0.440972,0.46875
71,0.743748,0.627677,1.220253,0.841144,1.17782,0.977147
72,0.7275,0.346415,0.669998,0.472107,1.346609,1.270832
73,0.419422,0.581874,0.363668,0.576359,0.28125,0.979167
74,0.203125,0.105903,0.390625,0.140625,0.5625,0.105903
75,0.734373,1.260123,0.730028,0.765752,1.088789,1.182483
76,0.0,0.0,0.0,0.0,0.0,0.0
77,1.0625,0.833333,1.020835,0.784722,1.812499,1.187499
78,0.805229,0.525022,0.484946,0.236249,1.475339,1.35243
79,0.589848,0.293509,0.433235,0.710719,0.97362,1.322916
80,1.221415,1.222218,0.487387,1.039443,0.678165,1.157649
81,0.26875,0.848949,0.542368,0.693773,0.459375,1.037165
82,1.472501,1.01736,1.150012,1.177081,1.70486,1.054155
83,0.50042,0.25,0.702702,0.755629,0.416667,1.037413
84,0.760415,0.842114,0.88194,0.208333,0.579166,0.425817
85,0.767361,0.724936,1.612222,1.121929,0.271775,0.930628
86,0.761619,0.548077,0.802674,0.967587,0.41533,0.848958
87,0.20625,0.686874,0.967849,0.565923,0.806885,0.885498
88,0.80125,0.713605,0.993417,0.555625,1.896935,1.468957
89,0.208333,0.09375,0.697369,0.458336,0.485418,0.94375
90,0.8475,0.9525,2.062498,1.062502,1.512499,0.562499
91,1.395833,0.874722,1.685829,1.312498,1.651108,1.279166
92,0.586659,0.69368,0.837599,0.435534,1.010707,0.340278
93,0.31625,0.396111,1.242643,1.156034,1.039236,1.246052
94,1.094274,1.398611,0.620025,1.049115,1.73918,1.199652
95,0.3125,0.997115,0.725757,0.926343,1.455406,0.997614
96,1.059307,1.566508,0.828081,1.392611,1.196062,1.270832
97,0.877082,0.33559,0.031196,0.182292,0.819472,0.219792
98,0.624999,2.057289,1.132486,0.639999,1.492499,1.205831
99,0.390624,0.928124,0.730902,0.268403,0.476736,0.587847
100,1.662499,2.039165,1.874998,0.734998,1.662498,1.590277
101,1.25,1.63194,2.277773,0.75,2.3,1.55
102,0.880207,1.137899,0.378977,1.690624,1.556893,1.526041
103,1.008158,1.419092,0.78923,1.517015,1.234197,1.595485
104,1.265013,1.208348,0.286875,0.71875,0.533332,0.456458
105,0.338541,0.64528,0.553469,0.60606,0.369434,0.729434
106,1.020832,0.458403,0.440511,0.444446,0.428402,0.524019
107,0.994354,0.707446,0.45736,0.942271,0.845156,0.957359
108,0.0625,0.686002,0.375,0.652775,0.25,0.231717
109,1.166661,1.011146,1.439999,1.126134,0.6525,1.280276
110,0.593657,0.245833,0.547134,0.521373,0.399634,0.293572
111,0.760171,0.856691,0.649034,0.411273,0.253075,0.426652
112,0.561755,0.482887,0.733253,0.529353,0.598957,1.203124
113,0.458333,0.708332,0.298333,0.447917,1.464581,0.787498
114,0.979103,0.93549,0.978676,0.862717,0.550346,0.96354
115,0.593749,0.500957,1.38429,0.696249,1.492919,1.15625
116,0.078125,0.352778,0.324441,0.078125,0.415278,0.340591
117,1.038188,0.437931,0.947915,1.162565,0.980391,0.987067
