,0,1,2
369,-8,0,8
370,16,8,0
371,0,0,0
372,0,8,16
373,-16,-16,16
374,0,8,0
375,-16,0,0
376,-16,0,8
377,0,0,0
378,0,0,16
379,8,0,0
380,-16,-8,0
381,0,0,8
382,0,0,0
383,-8,0,8
384,-8,16,8
385,0,-8,0
386,0,0,8
387,8,16,-8
388,0,-8,0
389,0,8,16
390,-8,0,8
391,0,-8,8
392,0,0,0
393,0,0,0
394,-16,-8,0
395,-16,16,16
396,-16,-16,0
397,0,16,0
398,-8,0,0
399,0,0,16
400,-8,0,0
401,0,16,0
402,0,8,16
403,8,0,0
404,-16,-8,-8
405,0,0,16
406,16,0,16
407,-16,-8,0
408,0,8,8
409,8,0,0
410,-16,-8,8
411,-16,-8,8
412,-16,0,0
413,0,-8,8
414,-8,-8,8
415,0,16,32
416,-8,-8,8
417,0,0,0
418,0,8,16
419,-8,-8,8
420,-16,-16,0
421,0,8,8
422,16,16,16
423,-16,-8,0
424,0,-8,8
425,-8,-8,8
426,-8,-8,16
427,-8,8,16
428,0,0,0
429,0,0,16
430,0,8,8
431,0,0,0
432,-16,-16,8
433,0,8,0
434,8,8,0
435,-16,-8,16
436,0,-8,16
437,-8,-8,16
438,-8,0,0
439,-8,0,8
440,0,0,0
441,0,0,-8
442,0,0,8
443,0,0,8
444,0,0,0
445,0,0,0
446,0,0,0
447,0,0,0
448,0,0,0
449,0,0,0
450,0,-8,16
451,0,-8,32
452,0,0,16
453,0,0,8
454,0,-8,8
455,0,-8,16
456,0,0,0
457,0,0,8
458,0,0,0
459,0,0,-8
460,0,0,0
461,0,0,16
462,0,0,0
463,0,0,0
464,-8,0,16
465,0,0,0
466,8,8,0
467,-8,0,16
468,8,8,0
469,-16,0,0
470,-16,0,16
471,0,8,0
472,0,0,0
473,-16,0,0
474,-16,0,0
475,0,8,0
476,-16,0,8
477,-16,0,8
478,-16,0,0
479,0,0,8
480,0,0,8
481,8,0,0
482,8,8,0
483,16,0,8
484,8,8,8
485,-16,0,0
486,0,0,8
487,0,8,8
488,-16,0,0
489,-16,0,0
490,0,0,0
491,0,8,0
492,0,0,-8
493,-8,0,0
494,0,0,-8
495,-8,8,-8
496,-8,0,0
497,-8,8,-8
498,0,0,-8
499,0,0,0
500,8,0,-8
501,8,8,-8
502,16,0,0
503,8,8,-8
504,-16,0,-8
505,0,8,-8
506,-8,0,-8
507,8,8,-8
508,16,-8,-8
509,8,-8,-8
510,-16,0,0
511,0,8,-8
512,-8,0,0
513,16,8,-8
514,8,-8,-8
515,16,-8,-8
516,-16,0,0
517,-16,0,16
518,-16,8,8
519,-16,0,0
520,0,0,16
521,0,8,8
522,-16,0,16
523,0,8,8
524,-8,0,16
525,16,8,8
526,8,-8,8
527,16,-8,8
528,-16,-8,-8
529,-16,0,-8
530,-16,0,-8
531,-16,-8,-8
532,0,0,-8
533,0,0,-8
534,-16,0,-8
535,0,0,-8
536,-8,0,-8
537,8,0,-8
538,16,-8,-8
539,8,-8,-8
540,0,16,16
541,0,16,0
542,0,16,0
543,0,16,8
544,0,16,16
545,0,16,0
546,0,16,8
547,8,16,16
548,16,16,0
549,8,0,16
550,8,8,8
551,16,0,0
552,8,8,16
553,0,16,8
554,0,0,8
555,0,8,32
556,0,16,0
557,0,16,0
558,0,0,8
559,0,8,0
560,-16,16,16
561,-16,16,0
562,-16,16,0
563,0,16,8
564,0,16,0
565,0,0,16
566,8,8,0
567,-8,0,0
568,8,8,0
569,-16,16,-8
570,-16,0,0
571,0,8,16
572,-16,16,8
573,-16,16,8
574,-16,0,8
575,0,8,0
576,-8,16,16
577,0,16,0
578,-8,0,16
579,-8,8,8
580,0,0,0
581,-8,8,16
582,0,16,8
583,0,16,0
584,0,0,8
585,8,8,-8
586,-8,0,0
587,8,8,0
588,0,0,0
589,0,8,0
590,-8,0,8
591,0,8,0
592,-8,-8,0
593,0,-8,0
594,0,0,-8
595,0,8,16
596,-8,0,0
597,-8,8,16
598,0,-8,16
599,-8,-8,16
600,-16,8,8
601,-16,0,8
602,-16,0,32
603,-16,8,0
604,-16,0,0
605,0,0,16
606,0,0,-8
607,0,0,16
608,-8,0,0
609,-8,0,16
610,0,-8,16
611,-8,-8,16
612,-16,16,8
613,-16,0,16
614,-16,8,8
615,-16,16,8
616,-16,0,8
617,0,8,-8
618,0,0,8
619,0,8,8
620,-8,0,16
621,0,8,0
622,-8,-8,8
623,0,-8,0
624,0,8,8
625,0,16,0
626,0,0,16
627,-8,0,0
628,8,8,0
629,-16,-8,8
630,0,0,8
631,0,0,0
632,0,-8,0
633,8,0,8
634,16,0,0
635,8,8,8
636,0,-8,0
637,0,8,16
638,0,0,16
639,-8,-8,8
640,8,16,-8
641,8,8,8
642,16,16,0
643,8,16,8
644,-8,-8,8
645,16,8,0
646,-8,0,8
647,-8,-8,8
648,8,0,8
649,0,8,32
650,-16,-16,16
651,0,8,0
652,0,0,0
653,0,8,16
654,-16,0,8
655,-16,0,0
656,0,0,16
657,0,0,0
658,8,0,0
659,-16,-8,0
660,0,0,8
661,0,0,16
662,-8,0,0
663,-8,0,0
664,0,8,16
665,0,16,0
666,8,0,0
667,-16,-8,0
668,0,8,8
669,8,0,0
670,-16,-8,-8
671,0,0,16
672,16,0,16
673,-16,-8,8
674,-16,-8,8
675,-16,0,0
676,0,-8,8
677,-8,0,8
678,0,0,0
679,-8,16,8
680,0,0,8
681,0,-8,0
682,8,16,-8
683,0,-8,8
684,0,0,0
685,0,0,0
686,0,-8,0
687,0,8,16
688,-8,0,8
689,-16,-8,0
690,-16,16,16
691,-16,-16,0
692,0,16,0
693,-8,-8,16
694,0,0,0
695,-8,8,16
696,-16,-16,8
697,0,8,0
698,8,8,0
699,0,0,16
700,0,8,8
701,0,0,0
702,0,-8,16
703,-16,-8,16
704,-8,-8,16
705,-8,-8,8
706,-8,-8,8
707,0,16,32
708,-16,-16,0
709,0,8,8
710,16,16,16
711,0,0,0
712,0,8,16
713,-8,-8,8
714,0,-8,8
715,-16,-8,0
716,-8,-8,8
717,0,8,0
718,0,16,0
719,0,0,0
720,-8,0,0
721,8,8,0
722,-16,-8,0
723,0,8,0
724,0,0,0
725,0,-8,0
726,8,0,0
727,16,0,0
728,8,8,0
729,0,-8,0
730,0,0,0
731,0,0,0
732,-8,-8,0
733,8,16,0
734,8,8,0
735,16,16,0
736,8,16,0
737,-8,-8,0
738,16,8,0
739,-8,0,0
740,-8,-8,0
741,8,0,0
742,0,8,0
743,-16,-16,0
744,0,8,0
745,0,0,0
746,0,8,0
747,-16,0,8
748,-16,0,0
749,0,0,8
750,0,0,0
751,8,0,8
752,-16,-8,8
753,0,0,8
754,0,0,-8
755,-8,0,-16
756,-8,0,-8
757,0,8,-8
758,0,16,-16
759,8,0,-8
760,-16,-8,-8
761,0,8,-8
762,8,0,-8
763,-16,-8,-16
764,0,0,-8
765,16,0,-8
766,-16,-8,-8
767,-16,0,-8
768,-16,0,-8
769,0,0,-8
770,-8,0,8
771,0,0,0
772,-8,16,0
773,0,0,8
774,0,-8,0
775,8,16,8
776,0,-8,8
777,0,0,0
778,0,0,8
779,0,-8,0
780,0,8,0
781,-8,0,8
782,-16,-8,8
783,-16,8,0
784,-16,-16,8
785,0,8,8
786,-8,-8,-8
787,0,0,-8
788,-8,8,-16
789,-16,-16,-8
790,0,8,-8
791,8,8,-8
792,0,0,-8
793,0,8,-16
794,0,0,-8
795,0,-8,-8
796,-16,-8,-16
797,-8,-8,-8
798,-8,-8,0
799,-8,-8,8
800,0,16,0
801,-16,-16,0
802,0,8,8
803,16,16,8
804,0,0,0
805,0,8,0
806,-8,-8,8
807,0,-8,8
808,-16,-8,0
809,-8,-8,8
810,0,16,0
811,0,16,16
812,16,16,0
813,8,16,-8
814,8,16,16
815,8,16,16
816,0,16,8
817,-8,16,0
818,0,16,0
819,-8,16,0
820,0,16,0
821,0,16,0
822,-16,-8,16
823,-16,-8,16
824,0,8,16
825,-8,8,16
826,-16,-8,8
827,-16,-8,0
828,0,0,0
829,0,0,-8
830,0,0,0
831,8,0,0
832,-8,0,0
833,8,0,0
834,0,0,0
835,-8,0,0
836,0,0,0
837,-8,0,0
838,0,0,0
839,0,0,0
840,0,-8,8
841,0,-8,8
842,0,-8,-8
843,-8,-8,-8
844,0,-8,-8
845,0,-8,-8
846,-8,16,32
847,-8,16,0
848,-8,16,0
849,-8,16,16
850,-16,16,16
851,-16,16,0
852,-16,16,0
853,-16,16,32
854,-16,16,0
855,-16,8,32
856,0,8,0
857,-16,8,0
858,0,8,0
859,-16,16,8
860,-16,8,8
861,0,8,16
862,-16,16,0
863,-16,16,0
864,-16,8,16
865,0,8,0
866,-16,16,32
867,-16,16,0
868,-16,16,0
869,-16,16,16
870,-16,16,0
871,0,8,16
872,-16,8,8
873,0,8,0
874,-16,8,16
875,-16,16,-8
876,0,8,0
877,-16,8,32
878,-16,16,16
879,-16,16,0
880,0,8,0
881,-16,8,0
882,-32,16,32
883,-32,16,0
884,-16,8,32
885,-16,8,0
886,-16,8,0
887,-16,8,0
888,-32,16,8
889,-32,16,8
890,-16,8,8
891,-16,8,-8
892,-16,8,8
893,-16,8,0
894,-16,8,0
895,-16,8,8
896,-16,8,0
897,-16,8,0
898,-8,-8,8
899,-8,-8,8
900,-16,8,-8
901,-16,8,8
902,-16,8,0
903,-16,8,32
904,-8,-8,16
905,-8,-8,32
906,-32,8,8
907,-16,8,8
908,-16,0,16
909,-32,8,0
910,-16,8,8
911,-16,0,16
912,-16,8,-8
913,-16,0,8
914,-16,8,0
915,-16,0,32
916,-8,-8,16
917,-8,-8,32
918,-32,8,16
919,-16,0,32
920,-16,8,0
921,-32,8,8
922,-16,0,8
923,-16,8,-8
924,-16,0,16
925,-16,8,8
926,-16,0,16
927,-16,8,8
928,-8,-8,8
929,-8,-8,16
930,-8,8,16
931,-8,8,0
932,-8,8,32
933,-8,0,0
934,-8,8,8
935,-8,-8,8
936,-8,0,16
937,-16,0,0
938,-16,-8,0
